NAME,POP_est_2018,STATE,,,,,
 Alabama,4887871,AL,,,,,
 Alaska,737438,AK,,,,,
 American Samoa,55641,AS,,,,,
 Arizona,7171646,AZ,,,,,
 Arkansas,3013825,AR,,,,,
 California,39557045,CA,,,,,
 Colorado,5695564,CO,,,,,
 Connecticut,3572665,CT,,,,,
 Delaware,967171,DE,,,,,
 District of Columbia,702455,DC,,,,,
 Florida,21299325,FL,,,,,
 Georgia,10519475,GA,,,,,
 Guam,165718,GU,,,,,
 Hawaii,1420491,HI,,,,,
 Idaho,1754208,ID,,,,,
 Illinois,12741080,IL,,,,,
 Indiana,6691878,IN,,,,,
 Iowa,3156145,IA,,,,,
 Kansas,2911505,KS,,,,,
 Kentucky,4468402,KY,,,,,
 Louisiana,4659978,LA,,,,,
 Maine,1338404,ME,,,,,
 Maryland,6042718,MD,,,,,
 Massachusetts,6902149,MA,,,,,
 Michigan,9995915,MI,,,,,
 Minnesota,5611179,MN,,,,,
 Mississippi,2986530,MS,,,,,
 Missouri,6126452,MO,,,,,
 Montana,1062305,MT,,,,,
 Nebraska,1929268,NE,,,,,
 Nevada,3034392,NV,,,,,
 New Hampshire,1356458,NH,,,,,
 New Jersey,8908520,NJ,,,,,
 New Mexico,2095428,NM,,,,,
 New York,19542209,NY,,,,,
 North Carolina,10383620,NC,,,,,
 North Dakota,760077,ND,,,,,
 Northern Mariana Islands,55194,MP,,,,,
 Ohio,11689442,OH,,,,,
 Oklahoma,3943079,OK,,,,,
 Oregon,4190713,OR,,,,,
 Pennsylvania,12807060,PA,,,,,
 Puerto Rico,3195153,PR,,,,,
 Rhode Island,1057315,RI,,,,,
 South Carolina,5084127,SC,,,,,
 South Dakota,882235,SD,,,,,
 Tennessee,6770010,TN,,,,,
 Texas,28701845,TX,,,,,
 U.S. Virgin Islands,104914,VI,,,,,
 Utah,3161105,UT,,,,,
 Vermont,626299,VT,,,,,
 Virginia,8517685,VA,,,,,
 Washington,7535591,WA,,,,,
 West Virginia,1805832,WV,,,,,
 Wisconsin,5813568,WI,,,,,
 Wyoming,577737,WY,,,,,
