JSONcat,lat,lng,university,universityLoc,universityState,foundingYear,universityPos,almaMater,originDate,lyricistName,lyricistAffliation,composerLast,composerFirst,composerOrigin,composerOriginPos,sourcePiece,sourceDate,composerAffiliation,contest,lyricsGender,schoolHexcode,Correction
"{location: [41.8268, -71.4025], university: ""Brown University"", universityLoc: ""Providence"", universityState: ""RI"", foundingYear: 1764, almaMater: ""Alma Mater"", originDate: 1860, lyricistName:  ""James Andews DeWolf"", lyricistAffliation: ""student"", composerLast: ""Kiallmark"", composerFirst: ""George F."", composerOrigin: ""British"", composerOriginPos: ""4"", sourcePiece:""Araby's Daughter, The Old Oaken Bucket"", sourceDate: 1826, hexcode: ""#4E3629""},",41.8268,-71.4025,Brown University,Providence,RI,1764,5,Alma Mater,1860,James Andews DeWolf,student,Kiallmark,George F.,British,4,"Araby's Daughter, The Old Oaken Bucket",1826,BLANK,BLANK,BLANK,#4E3629,""""
"{location: [39.9522, -75.1932], university: ""University of Pennsylvania"", universityLoc: ""Philadelphia"", universityState: ""PA"", foundingYear: 1751, almaMater: ""Hail, Pennsylvania!"", originDate: 1894, lyricistName:  ""Edgar M Diller"", lyricistAffliation: ""student class of 1897"", composerLast: ""Lvov"", composerFirst: ""Alexei Fyodorvich"", composerOrigin: ""Russian"", composerOriginPos: ""9"", sourcePiece:""God Save the Tsar!"", sourceDate: 1833, hexcode: ""#011F5B""},",39.9522,-75.1932,University of Pennsylvania,Philadelphia,PA,1751,4,"Hail, Pennsylvania!",1894,Edgar M Diller,student class of 1897,Lvov,Alexei Fyodorvich,Russian,9,God Save the Tsar!,1833,BLANK,Yes,BLANK,#011F5B,""""
"{location: [42.7018, -84.4822], university: ""Michigan State University"", universityLoc: ""East Lansing"", universityState: ""MI"", foundingYear: 1855, almaMater: ""Shadows"", originDate: 1927, lyricistName:  ""Bernard Traynor"", lyricistAffliation: ""Football Line Coach"", composerLast: ""Donizetti"", composerFirst: """", composerOrigin: ""Italian"", composerOriginPos: ""8"", sourcePiece:""When Irish Eyes are Smiling? Or Lucia di Lamermoor"", sourceDate: 1835, hexcode: ""#18453B""},",42.7018,-84.4822,Michigan State University,East Lansing,MI,1855,27,Shadows,1927,Bernard Traynor,Football Line Coach,Donizetti,,Italian,8,When Irish Eyes are Smiling? Or Lucia di Lamermoor,1835,BLANK,Student Vote,BLANK,#18453B,""""
"{location: [42.278, -83.7382], university: ""University of Michigan"", universityLoc: ""Ann Arbor"", universityState: ""MI"", foundingYear: 1817, almaMater: ""The Yellow and Blue"", originDate: 1886, lyricistName:  ""Charles M. Gayley"", lyricistAffliation: ""English Professor"", composerLast: ""Balfe"", composerFirst: ""Michael William"", composerOrigin: ""Irish"", composerOriginPos: ""5"", sourcePiece:""The Bohemian Girl"", sourceDate: 1843, hexcode: ""#00274C""},",42.2780,-83.7382,University of Michigan,Ann Arbor,MI,1817,13,The Yellow and Blue,1886,Charles M. Gayley,English Professor,Balfe,Michael William,Irish,5,The Bohemian Girl,1843,BLANK,Yes,BLANK,#00274C,""""
"{location: [41.3163, -72.9223], university: ""Yale University"", universityLoc: ""New Haven"", universityState: ""CT"", foundingYear: 1701, almaMater: ""Bright College Years"", originDate: 1881, lyricistName:  ""Henry Durand"", lyricistAffliation: ""Student and class poet"", composerLast: ""Wilhelm"", composerFirst: ""Karl"", composerOrigin: ""Germany"", composerOriginPos: ""7"", sourcePiece:""Die Wacht am Rhein"", sourceDate: 1854, hexcode: ""#0f4d92""},",41.3163,-72.9223,Yale University,New Haven,CT,1701,2,Bright College Years,1881,Henry Durand,Student and class poet,Wilhelm,Karl,Germany,7,Die Wacht am Rhein,1854,BLANK,BLANK,BLANK,#0f4d92,""""
"{location: [43.0766, -89.4125], university: ""University of Wisconsin"", universityLoc: ""Madison"", universityState: ""WI"", foundingYear: 1848, almaMater: ""Varsity"", originDate: 1898, lyricistName:  ""Henry Dyke Sleeper"", lyricistAffliation: ""School of Music instructor"", composerLast: ""Gounod"", composerFirst: """", composerOrigin: ""France"", composerOriginPos: ""6"", sourcePiece:""Domine Salvam Fac"", sourceDate: 1855, hexcode: ""#C5050C""},",43.0766,-89.4125,University of Wisconsin,Madison,WI,1848,23,Varsity,1898,Henry Dyke Sleeper,School of Music instructor,Gounod,,France,6,Domine Salvam Fac,1855,BLANK,BLANK,BLANK,#C5050C,""""
"{location: [42.4534, -76.4735], university: ""Cornell University"", universityLoc: ""Ithaca"", universityState: ""NY"", foundingYear: 1865, almaMater: ""Far Above Cayuga's Waters"", originDate: 1870, lyricistName:  ""Archibald Croswell Weeks and Wilmot Moses Smith"", lyricistAffliation: ""Students"", composerLast: ""Thompson"", composerFirst: ""H.S."", composerOrigin: ""American - Annie Lisle"", composerOriginPos: ""1"", sourcePiece:""Annie Lisle"", sourceDate: 1857, hexcode: ""#B31B1B""},",42.4534,-76.4735,Cornell University,Ithaca,NY,1865,31,Far Above Cayuga's Waters,1870,Archibald Croswell Weeks and Wilmot Moses Smith,Students,Thompson,H.S.,American - Annie Lisle,1,Annie Lisle,1857,BLANK,BLANK,BLANK,#B31B1B,""""
"{location: [33.7971, -84.3222], university: ""Emory University"", universityLoc: ""Atlanta"", universityState: ""GA"", foundingYear: 1836, almaMater: ""Emory's Alma Mater"", originDate: 1918, lyricistName:  ""J Marvin Rast"", lyricistAffliation: ""campus leader and glee club member"", composerLast: ""Thompson"", composerFirst: ""H.S."", composerOrigin: ""American - Annie Lisle"", composerOriginPos: ""1"", sourcePiece:""Annie Lisle"", sourceDate: 1857, hexcode: ""#012169""},",33.7971,-84.3222,Emory University,Atlanta,GA,1836,18,Emory's Alma Mater,1918,J Marvin Rast,campus leader and glee club member,Thompson,H.S.,American - Annie Lisle,1,Annie Lisle,1857,BLANK,BLANK,BLANK,#012169,""""
"{location: [39.1754, -86.5126], university: ""Indiana University"", universityLoc: ""Bloomington"", universityState: ""IN"", foundingYear: 1820, almaMater: ""Hail to Old IU"", originDate: 1893, lyricistName:  ""JT Giles"", lyricistAffliation: ""glee club member"", composerLast: ""Thompson"", composerFirst: ""H.S."", composerOrigin: ""American - Annie Lisle"", composerOriginPos: ""1"", sourcePiece:""Annie Lisle"", sourceDate: 1858, hexcode: ""#990000""},",39.1754,-86.5126,Indiana University,Bloomington,IN,1820,15,Hail to Old IU,1893,JT Giles,glee club member,Thompson,H.S.,American - Annie Lisle,1,Annie Lisle,1858,BLANK,BLANK,BLANK,#990000,""""
"{location: [39.4714, -87.4083], university: ""Indiana State University"", universityLoc: ""Terre Haute"", universityState: ""IN"", foundingYear: 1865, almaMater: ""originally called ""Indiana's Normal"""", originDate: 1912, lyricistName:  ""Charles M. Curry"", lyricistAffliation: ""English Professor"", composerLast: ""Thompson"", composerFirst: ""H.S."", composerOrigin: ""American - Annie Lisle"", composerOriginPos: ""1"", sourcePiece:""Annie Lisle"", sourceDate: 1859, hexcode: ""#0142BC""},",39.4714,-87.4083,Indiana State University,Terre Haute,IN,1865,28,"originally called ""Indiana's Normal""",1912,Charles M. Curry,English Professor,Thompson,H.S.,American - Annie Lisle,1,Annie Lisle,1859,BLANK,BLANK,BLANK,#0142BC,""""
